Epoch,Pitch,Roll,Yaw,Pulse,Temp
1583692332.8994875,-51.02,41.61,185.22,498.00,26.88
1583692333.1657286,-51.03,41.57,184.53,499.00,26.94
1583692333.4358428,-51.52,41.98,184.04,501.00,26.94
1583692333.702184,-52.01,42.58,183.40,495.00,26.94
1583692333.968451,-52.15,42.56,183.29,497.00,26.88
1583692334.2385926,-52.90,43.43,182.39,499.00,26.88
1583692334.5048733,-53.26,43.91,181.97,488.00,26.88
1583692334.771144,-53.23,43.76,182.05,495.00,26.88
1583692335.0413597,-53.66,43.94,181.44,512.00,26.88
1583692335.3076382,-53.73,44.47,180.87,507.00,26.94
1583692335.5739145,-53.93,45.09,180.38,496.00,26.94
1583692335.840199,-54.04,45.17,179.73,503.00,26.94
1583692336.1103253,-54.18,45.28,179.21,697.00,26.94
1583692336.3766823,-54.29,45.31,178.94,517.00,26.94
1583692336.6429431,-54.64,45.39,178.35,496.00,26.88
1583692336.9130738,-54.97,45.70,177.91,503.00,26.94
1583692337.1794066,-55.17,46.26,177.48,511.00,26.94
1583692337.4456778,-55.44,46.60,176.86,490.00,26.94
1583692337.7158048,-55.61,46.60,176.46,499.00,26.94
1583692337.982131,-55.72,47.28,175.76,496.00,26.94
1583692338.2484186,-55.65,47.32,175.65,494.00,26.88
1583692338.5185883,-55.81,47.14,175.05,502.00,26.94
1583692338.7848318,-55.99,47.95,174.16,503.00,26.94
1583692339.051119,-56.19,47.54,173.87,512.00,26.94
1583692339.3174572,-56.61,48.48,173.31,498.00,26.94
1583692339.587543,-56.50,47.68,173.29,505.00,26.88
1583692339.8538802,-57.29,48.43,172.32,498.00,26.94
1583692340.120165,-58.15,50.74,170.19,485.00,26.94
1583692340.3902986,-58.44,51.61,167.18,494.00,26.94
1583692340.6565795,-57.70,52.86,167.05,515.00,26.94
1583692340.922896,-57.87,50.64,168.47,529.00,26.94
1583692341.193129,-58.21,48.66,170.69,501.00,26.94
1583692341.4594085,-57.90,48.14,171.03,501.00,26.94
1583692341.7256656,-57.83,48.04,170.76,513.00,26.94
