Epoch,Pitch,Roll,Yaw,Pulse1583618202.152147,b0\r\nb'0\r\n'
1583618202.1537359,b0\r\nb'0\r\n'
1583618202.1552918,b0\r\nb'0\r\n'
1583618202.1568065,b0\r\nb'0\r\n'
1583618202.1583502,b0\r\nb'0\r\n'
1583618202.1614048,b190\r\nb'190\r\n'
1583618202.1637914,b659\r\nb'659\r\n'
1583618202.165994,b686\r\nb'686\r\n'
1583618202.1850066,b686\r\nb'686\r\n'
1583618202.1865816,b685\r\nb'685\r\n'
1583618202.188021,b683\r\nb'683\r\n'
1583618202.1894934,b674\r\nb'674\r\n'
1583618202.1909893,b305\r\nb'305\r\n'
1583618202.193158,b0\r\nb'0\r\n'
1583618202.1946683,b0\r\nb'0\r\n'
1583618202.1960964,b0\r\nb'0\r\n'
1583618202.218245,b0\r\nb'0\r\n'
1583618202.220006,b0\r\nb'0\r\n'
1583618202.2217555,b62\r\nb'62\r\n'
1583618202.2233634,b467\r\nb'467\r\n'
1583618202.224916,b686\r\nb'686\r\n'
1583618202.2267406,b686\r\nb'686\r\n'
1583618202.228609,b686\r\nb'686\r\n'
1583618202.2516356,b393\r\nb'393\r\n'
1583618202.2530417,b0\r\nb'0\r\n'
1583618202.2544694,b314\r\nb'314\r\n'
1583618202.2558894,b686\r\nb'686\r\n'
1583618202.257257,b0\r\nb'0\r\n'
1583618202.2585928,b0\r\nb'0\r\n'
1583618202.2600756,b302\r\nb'302\r\n'
1583618202.2615335,b686\r\nb'686\r\n'
1583618202.2845404,b0\r\nb'0\r\n'
1583618202.2855713,b0\r\nb'0\r\n'
1583618202.286641,b288\r\nb'288\r\n'
1583618202.2877052,b686\r\nb'686\r\n'
1583618202.2887216,b0\r\nb'0\r\n'
1583618202.2898595,b0\r\nb'0\r\n'
1583618202.290944,b277\r\nb'277\r\n'
1583618202.2920098,b685\r\nb'685\r\n'
1583618202.3180985,b0\r\nb'0\r\n'
1583618202.3194551,b0\r\nb'0\r\n'
1583618202.32093,b267\r\nb'267\r\n'
1583618202.3223155,b686\r\nb'686\r\n'
1583618202.3242514,b0\r\nb'0\r\n'
1583618202.3255966,b0\r\nb'0\r\n'
1583618202.3270276,b252\r\nb'252\r\n'
1583618202.3283288,b686\r\nb'686\r\n'
1583618202.3513904,b0\r\nb'0\r\n'
1583618202.3527372,b0\r\nb'0\r\n'
1583618202.3541393,b246\r\nb'246\r\n'
1583618202.3555305,b687\r\nb'687\r\n'
1583618202.3568485,b0\r\nb'0\r\n'
1583618202.3579786,b0\r\nb'0\r\n'
1583618202.3591816,b232\r\nb'232\r\n'
1583618202.3603895,b684\r\nb'684\r\n'
1583618202.3846455,b0\r\nb'0\r\n'
1583618202.386,b0\r\nb'0\r\n'
1583618202.3874311,b222\r\nb'222\r\n'
1583618202.3888097,b687\r\nb'687\r\n'
1583618202.3901846,b0\r\nb'0\r\n'
1583618202.3915272,b0\r\nb'0\r\n'
1583618202.392694,b209\r\nb'209\r\n'
1583618202.3938649,b686\r\nb'686\r\n'
1583618202.4176948,b0\r\nb'0\r\n'
1583618202.4188213,b0\r\nb'0\r\n'
1583618202.4200416,b201\r\nb'201\r\n'
1583618202.4212217,b687\r\nb'687\r\n'
1583618202.4223342,b0\r\nb'0\r\n'
1583618202.423441,b0\r\nb'0\r\n'
1583618202.4246042,b188\r\nb'188\r\n'
1583618202.4258132,b685\r\nb'685\r\n'
1583618202.4509382,b0\r\nb'0\r\n'
1583618202.451907,b0\r\nb'0\r\n'
1583618202.4528968,b176\r\nb'176\r\n'
1583618202.4538484,b686\r\nb'686\r\n'
1583618202.4547634,b0\r\nb'0\r\n'
1583618202.4556763,b0\r\nb'0\r\n'
1583618202.4566505,b168\r\nb'168\r\n'
1583618202.4576216,b685\r\nb'685\r\n'
1583618202.4841864,b0\r\nb'0\r\n'
1583618202.485507,b0\r\nb'0\r\n'
1583618202.4868865,b159\r\nb'159\r\n'
1583618202.4883149,b686\r\nb'686\r\n'
1583618202.4896646,b0\r\nb'0\r\n'
1583618202.4909697,b0\r\nb'0\r\n'
1583618202.492339,b146\r\nb'146\r\n'
1583618202.4937496,b685\r\nb'685\r\n'
1583618202.517596,b0\r\nb'0\r\n'
1583618202.5190558,b0\r\nb'0\r\n'
1583618202.530546,b140\r\nb'140\r\n'
1583618202.5513656,b686\r\nb'686\r\n'
1583618202.572142,b0\r\nb'0\r\n'
1583618202.5929396,b0\r\nb'0\r\n'
1583618202.6139035,b128\r\nb'128\r\n'
1583618202.6347609,b686\r\nb'686\r\n'
1583618202.6554532,b0\r\nb'0\r\n'
1583618202.676146,b0\r\nb'0\r\n'
1583618202.6970499,b120\r\nb'120\r\n'
1583618202.7178905,b689\r\nb'689\r\n'
1583618202.7386177,b0\r\nb'0\r\n'
1583618202.7595012,b0\r\nb'0\r\n'
1583618202.7803838,b109\r\nb'109\r\n'
1583618202.8012002,b686\r\nb'686\r\n'
1583618202.821963,b0\r\nb'0\r\n'
1583618202.8427794,b0\r\nb'0\r\n'
1583618202.863668,b98\r\nb'98\r\n'
1583618202.8846343,b686\r\nb'686\r\n'
1583618202.906407,b274\r\nb'274\r\n'
1583618202.9271905,b0\r\nb'0\r\n'
1583618202.9480596,b440\r\nb'440\r\n'
1583618202.9689133,b686\r\nb'686\r\n'
1583618202.989687,b0\r\nb'0\r\n'
1583618203.010557,b0\r\nb'0\r\n'
1583618203.03143,b427\r\nb'427\r\n'
1583618203.0522716,b685\r\nb'685\r\n'
1583618203.0729973,b0\r\nb'0\r\n'
1583618203.09382,b0\r\nb'0\r\n'
1583618203.1147254,b411\r\nb'411\r\n'
