Epoch,Pitch,Roll,Yaw,Pulse1583625263.7098114,10.77,-88.70,188.16,545
1583625263.7366679,-10.77,-88.56,188.20,608
1583625263.763731,-10.77,-88.41,188.25,534
1583625263.7908359,-10.77,-88.27,188.29,556
1583625263.8179011,-10.76,-88.12,188.33,508
1583625263.8450172,-10.76,-87.98,188.37,525
1583625263.8721015,-10.76,-87.83,188.41,553
1583625263.8991504,-10.76,-87.68,188.45,480
1583625263.9262245,-10.75,-87.54,188.49,547
1583625263.9532964,-10.75,-87.39,188.54,525
1583625263.980407,-10.75,-87.24,188.58,521
1583625264.0074735,-10.75,-87.10,188.62,564
1583625264.0345442,-10.75,-86.95,188.66,531
1583625264.0616336,-10.75,-86.80,188.70,534
1583625264.0887399,-10.74,-86.65,188.74,568
1583625264.1158035,-10.74,-86.50,188.78,528
1583625264.1428945,-10.74,-86.35,188.83,552
1583625264.1699712,-10.74,-86.20,188.87,543
1583625264.197129,-10.74,-86.05,188.91,516
1583625264.2241426,-10.74,-85.90,188.95,572
1583625264.25123,-10.74,-85.75,188.99,538
1583625264.2783077,-10.73,-85.60,189.03,534
1583625264.30539,-10.73,-85.44,189.08,569
1583625264.3324685,-10.73,-85.29,189.12,535
1583625264.3595839,-10.73,-85.14,189.16,571
1583625264.3866293,-10.73,-84.99,189.20,545
1583625264.4138923,-10.73,-84.83,189.24,530
1583625264.4409564,-10.73,-84.68,189.28,522
1583625264.4680343,-10.73,-84.52,189.33,513
1583625264.4951293,-10.73,-84.37,189.37,544
1583625264.5222082,-10.73,-84.22,189.41,589
1583625264.5493002,-10.73,-84.06,189.45,534
1583625264.5763333,-10.73,-83.90,189.49,561
1583625264.603485,-10.73,-83.75,189.53,475
1583625264.6305661,-10.73,-83.59,189.58,860
1583625264.657624,-10.73,-83.43,189.62,577
1583625264.6846945,-10.73,-83.27,189.66,529
1583625264.711717,-10.73,-83.12,189.70,540
1583625264.7388234,-10.73,-82.96,189.74,556
1583625264.765895,-10.73,-82.80,189.78,523
1583625264.7929852,-10.73,-82.64,189.83,562
1583625264.8201568,-10.73,-82.48,189.87,554
1583625264.8472166,-10.73,-82.33,189.91,546
1583625264.8743126,-10.74,-82.16,189.95,605
1583625264.9013526,-10.74,-82.01,189.99,547
1583625264.9284003,-10.74,-81.84,190.03,523
1583625264.9554756,-10.74,-81.68,190.07,518
1583625264.9825437,-10.74,-81.52,190.12,513
1583625265.0097926,-10.74,-81.36,190.16,540
1583625265.0367775,-10.74,-81.20,190.20,502
1583625265.0638669,-10.74,-81.03,190.24,496
1583625265.0909302,-10.75,-80.87,190.28,545
1583625265.1179986,-10.75,-80.71,190.32,508
1583625265.1450555,-10.75,-80.54,190.37,523
