Epoch,Pitch,Roll,Yaw,Pulse,Temp
1583631252.5715978,6xff3.44,-0.07,180.09,490.00,29.06
1583631252.8375418,7.34,-1.78,179.98,471.00,29.06
1583631253.1077034,11.40,-3.23,179.32,486.00,29.06
1583631253.3739798,15.11,-5.19,178.91,479.00,29.06
1583631253.6402633,18.87,-7.14,178.28,470.00,29.13
1583631253.9104831,22.98,-8.53,177.10,515.00,29.06
1583631254.176876,26.97,-10.09,175.68,480.00,29.06
1583631254.4431117,31.03,-11.64,173.92,505.00,29.06
1583631254.7132616,35.08,-13.73,172.06,498.00,29.06
1583631254.9794106,38.87,-16.04,170.18,500.00,29.06
1583631255.2458863,42.94,-18.31,167.79,508.00,29.06
1583631255.5160205,47.00,-21.09,164.79,501.00,29.06
1583631255.782151,50.76,-24.47,161.73,501.00,29.06
1583631256.0483818,54.90,-27.82,157.70,395.00,29.06
1583631256.318575,58.91,-32.14,152.27,554.00,29.13
1583631256.5848944,62.59,-37.49,146.09,515.00,29.06
1583631256.8511682,65.91,-44.78,137.71,512.00,29.06
1583631257.117446,69.01,-53.41,128.33,507.00,29.13
1583631257.387649,71.54,-64.52,116.38,479.00,29.13
1583631257.6539478,73.31,-77.49,103.11,480.00,29.13
1583631257.9201899,73.96,-93.68,85.82,481.00,29.06
1583631258.1903784,73.28,-109.78,68.73,493.00,29.06
1583631258.4567108,70.99,-123.51,53.59,648.00,29.13
1583631258.7229924,67.23,-132.93,43.38,505.00,29.13
1583631258.9931567,63.61,-140.32,34.22,503.00,29.13
1583631259.2594373,75.85,-16.97,205.58,480.00,29.13
1583631259.5256867,59.12,7.77,267.68,519.00,29.13
1583631259.7920103,-37.57,0.89,340.58,528.00,29.13
1583631260.0622761,12.29,-105.11,58.73,503.00,29.13
1583631260.3284924,62.91,-96.14,116.80,510.00,29.13
1583631260.594776,44.65,-47.46,190.53,514.00,29.13
1583631260.8650491,63.74,-109.97,136.32,511.00,29.13
1583631261.1312296,54.75,173.08,22.75,513.00,29.13
1583631261.4014912,56.46,-178.29,315.06,519.00,29.13
1583631261.667722,75.16,157.55,286.99,494.00,29.06
1583631261.9340599,64.61,121.14,244.49,514.00,29.13
1583631262.204274,48.78,-128.24,292.54,495.00,29.19
1583631262.4705923,62.43,-149.08,272.96,507.00,29.13
1583631262.7367797,24.19,-88.39,208.79,499.00,29.13
1583631263.00313,44.09,-96.65,217.51,567.00,29.13
1583631263.2732725,52.10,-59.13,356.45,526.00,29.13
1583631263.5394974,66.12,-72.77,50.14,485.00,29.13
1583631263.8058488,69.41,-68.25,317.47,487.00,29.13
1583631264.076065,65.67,-105.55,210.29,498.00,29.13
1583631264.3423448,53.07,-85.16,202.69,491.00,29.13
1583631264.608593,56.80,10.20,225.55,481.00,29.13
1583631264.874916,49.58,-46.78,159.27,492.00,29.13
1583631265.1451285,40.89,-130.35,154.12,499.00,29.13
1583631265.411405,45.30,-103.87,161.57,501.00,29.19
1583631265.6776793,27.23,-76.30,142.17,501.00,29.13
1583631265.9478426,34.75,-88.56,148.97,512.00,29.19
1583631266.2141292,32.90,-86.59,162.39,516.00,29.19
1583631266.4804285,10.04,-41.37,254.77,593.00,29.19
1583631266.7467086,-10.37,-9.60,206.07,531.00,29.19
1583631267.01696,-14.44,-56.22,209.98,517.00,29.19
1583631267.2831442,-11.72,4.35,215.93,512.00,29.13
1583631267.5494661,-18.28,29.75,228.97,516.00,29.13
1583631267.819731,-13.08,-14.60,188.71,518.00,29.19
1583631268.0859199,-10.58,34.80,189.05,496.00,29.19
1583631268.3521981,-30.23,52.59,204.89,510.00,29.13
1583631268.6224089,-20.41,52.14,195.20,504.00,29.19
1583631268.8886206,-5.45,41.38,212.89,503.00,29.19
1583631269.154979,-3.01,143.79,210.35,480.00,29.19
1583631269.4252062,-45.16,157.70,250.49,479.00,29.13
1583631269.691542,-33.41,100.51,306.14,482.00,29.19
1583631269.9577668,-16.12,90.39,332.89,595.00,29.13
1583631270.2239258,5.47,88.90,347.36,510.00,29.13
1583631270.494266,-21.28,109.14,313.66,492.00,29.19
1583631270.760479,21.08,118.06,242.17,503.00,29.19
1583631271.0267532,18.75,117.70,247.37,520.00,29.19
1583631271.2969644,16.52,119.41,249.11,523.00,29.19
1583631271.5632634,12.29,120.37,255.52,509.00,29.19
1583631271.8295026,8.38,120.84,260.60,519.00,29.19
1583631272.0998256,-43.80,111.10,336.30,508.00,29.19
1583631272.366035,-53.05,105.49,349.14,521.00,29.19
1583631272.632396,-51.15,138.09,318.79,491.00,29.19
1583631272.9025316,-21.89,109.60,227.38,503.00,29.19
1583631273.1687484,-11.59,59.29,225.39,512.00,29.19
1583631273.4349878,35.11,79.86,274.43,487.00,29.19
1583631273.7012877,25.32,64.66,270.95,534.00,29.13
1583631273.9676054,16.58,60.95,274.16,492.00,29.25
1583631274.237829,-16.06,69.11,217.61,503.00,29.19
1583631274.504117,-14.11,67.50,215.66,496.00,29.19
1583631274.7704136,-11.12,68.02,217.33,504.00,29.19
1583631275.0366204,-8.81,68.53,218.86,491.00,29.19
1583631275.3068488,-6.61,69.29,220.36,490.00,29.19
1583631275.57312,-4.43,69.95,221.80,471.00,29.25
1583631275.8394294,-2.16,70.51,223.36,506.00,29.25
1583631276.1056156,0.10,71.59,224.85,467.00,29.25
