1583616243.9596336,x02x9ax92xaaxax02x8axc2xa2xc2x92j
1583616243.9813447,7.51, 31.88, 184.63
1583616244.0032122,7.70, 31.52, 184.54
1583616244.025087,7.87, 31.63, 184.59
1583616244.0469267,7.93, 32.23, 184.70
1583616244.0688276,7.91, 32.76, 184.81
1583616244.0908072,7.87, 32.89, 184.88
1583616244.112588,7.86, 32.65, 184.83
1583616244.1344485,7.84, 32.25, 184.71
1583616244.1563308,7.71, 32.03, 184.69
1583616244.1782067,7.59, 31.97, 184.73
1583616244.2000396,7.52, 32.15, 184.74
1583616244.2219453,7.74, 32.12, 184.69
1583616244.2438233,7.81, 32.10, 184.62
1583616244.2657208,7.86, 32.07, 184.56
1583616244.2875443,7.78, 32.03, 184.53
1583616244.3094344,7.84, 32.13, 184.46
1583616244.3313134,8.15, 32.30, 184.47
1583616244.353176,8.11, 32.50, 184.52
1583616244.37505,8.04, 32.54, 184.57
1583616244.3969228,7.95, 32.39, 184.60
1583616244.4188495,7.89, 32.07, 184.55
1583616244.4407423,7.81, 31.92, 184.50
1583616244.4625294,7.70, 31.90, 184.52
1583616244.4844205,7.58, 31.97, 184.58
1583616244.506314,7.49, 32.12, 184.59
1583616244.528176,7.76, 32.17, 184.57
1583616244.5500581,7.93, 32.11, 184.48
1583616244.5718975,7.90, 32.11, 184.43
1583616244.5938435,7.79, 32.07, 184.43
1583616244.6156604,7.77, 32.02, 184.36
1583616244.637537,8.00, 32.15, 184.36
1583616244.6596625,8.06, 32.31, 184.34
1583616244.6814346,7.95, 32.41, 184.36
1583616244.7033496,7.85, 32.39, 184.40
1583616244.7252045,7.78, 32.25, 184.39
1583616244.747072,7.95, 32.12, 184.30
1583616244.7689695,7.88, 32.05, 184.28
1583616244.7907748,7.77, 32.09, 184.35
1583616244.8126683,7.69, 32.03, 184.36
1583616244.834535,7.65, 31.88, 184.36
1583616244.8564053,7.76, 31.69, 184.27
1583616244.878349,7.67, 31.71, 184.27
1583616244.9002006,7.54, 31.67, 184.31
1583616244.9221163,7.47, 31.77, 184.32
1583616244.9439814,7.58, 31.98, 184.33
1583616244.965785,7.85, 32.12, 184.33
1583616244.987655,7.77, 32.10, 184.31
1583616245.0095804,7.66, 32.06, 184.35
1583616245.0313892,7.56, 31.99, 184.37
1583616245.0532532,7.77, 32.04, 184.33
1583616245.0752082,7.79, 32.04, 184.26
1583616245.097084,7.69, 32.16, 184.30
1583616245.1189942,7.58, 32.11, 184.34
1583616245.140837,7.52, 31.98, 184.34
1583616245.1626418,7.74, 32.01, 184.30
1583616245.1845129,7.85, 32.08, 184.24
1583616245.206384,7.73, 32.13, 184.29
1583616245.22826,7.59, 32.18, 184.34
1583616245.2501485,7.68, 32.04, 184.28
1583616245.2721357,7.91, 32.06, 184.25
1583616245.2939596,7.82, 31.99, 184.22
1583616245.3158004,7.70, 31.97, 184.26
1583616245.337687,7.60, 31.86, 184.28
1583616245.3596375,7.55, 31.79, 184.23
1583616245.3813918,7.68, 31.90, 184.25
1583616245.4032502,7.59, 31.97, 184.27
1583616245.42516,7.55, 32.13, 184.29
1583616245.4470522,7.49, 32.18, 184.32
1583616245.4689038,7.76, 32.34, 184.32
1583616245.4907339,8.03, 32.53, 184.30
1583616245.5126224,8.06, 32.56, 184.29
1583616245.5344882,8.01, 32.55, 184.36
1583616245.5563817,7.98, 32.48, 184.42
1583616245.5783265,8.09, 32.31, 184.41
1583616245.6002285,8.17, 32.01, 184.36
1583616245.6221497,8.04, 31.74, 184.37
1583616245.6439521,7.88, 31.40, 184.36
1583616245.6657488,7.74, 31.26, 184.37
1583616245.687627,7.64, 31.30, 184.38
1583616245.7094946,7.59, 31.43, 184.46
1583616245.7313871,7.58, 31.63, 184.54
1583616245.75325,7.48, 31.75, 184.57
1583616245.775123,7.64, 31.94, 184.54
1583616245.7970476,7.96, 32.22, 184.59
1583616245.8188713,8.19, 32.45, 184.60
1583616245.840752,8.16, 32.60, 184.67
1583616245.8626726,8.16, 32.48, 184.70
1583616245.884564,8.21, 32.22, 184.67
1583616245.9064164,8.18, 32.02, 184.62
1583616245.9282842,8.07, 31.93, 184.63
1583616245.9502144,7.92, 31.76, 184.66
1583616245.9719863,7.75, 31.49, 184.65
1583616245.9938757,7.80, 32.05, 184.81
1583616246.0157506,8.20, 35.33, 185.62
1583616246.0376236,8.67, 37.53, 186.22
1583616246.0594823,8.88, 37.14, 186.26
1583616246.081448,8.73, 35.37, 185.96
1583616246.1033082,8.50, 34.89, 185.87
1583616246.12528,8.12, 37.59, 186.65
1583616246.1470516,7.00, 43.27, 188.43
1583616246.1688945,5.47, 46.59, 191.23
1583616246.1907523,4.63, 37.71, 191.61
1583616246.2126172,4.74, 31.05, 190.77
1583616246.2344837,3.73, 28.81, 190.51
1583616246.2563457,2.60, 24.21, 190.51
1583616246.2782335,2.14, 20.77, 190.75
1583616246.300173,2.19, 20.27, 191.68
1583616246.321973,2.25, 20.16, 192.82
1583616246.343868,1.70, 19.89, 193.88
1583616246.3658037,0.99, 18.27, 194.74
1583616246.3876562,0.33, 18.64, 195.81
1583616246.4105735,-0.47, 18.85, 197.22
1583616246.4335272,-0.97, 20.34, 199.09
1583616246.456417,-1.13, 23.42, 200.62
1583616246.4782438,1.08, 23.54, 199.79
1583616246.5001228,5.38, 21.66, 196.39
1583616246.5220108,7.89, 20.14, 194.47
1583616246.5438638,9.02, 24.91, 195.26
1583616246.5657694,9.44, 28.48, 196.25
1583616246.5887158,10.02, 30.85, 196.58
1583616246.6105795,9.98, 31.86, 196.72
1583616246.6324444,9.92, 32.06, 196.69
1583616246.6543255,9.95, 32.51, 196.46
1583616246.6762352,9.78, 35.53, 197.16
1583616246.6990795,10.07, 38.38, 197.87
1583616246.7219675,10.51, 40.33, 198.44
1583616246.7448852,10.56, 40.13, 198.95
1583616246.767849,10.79, 40.33, 199.75
1583616246.7907796,11.01, 43.17, 201.31
1583616246.8136835,10.70, 43.06, 202.33
1583616246.8366022,10.91, 39.61, 202.54
1583616246.859578,11.76, 38.99, 202.30
1583616246.8823924,13.67, 43.02, 201.62
1583616246.9053109,17.49, 51.18, 202.59
1583616246.9282837,18.94, 53.59, 203.47
1583616246.9511793,20.00, 55.71, 204.45
1583616246.9741175,20.60, 56.02, 205.01
1583616246.997013,21.85, 54.95, 204.21
1583616247.0199244,23.51, 52.18, 202.46
1583616247.0428624,26.53, 48.03, 199.31
1583616247.065867,31.82, 43.68, 193.53
1583616247.0886269,37.05, 41.00, 188.46
1583616247.1115487,38.70, 38.13, 187.09
1583616247.134461,41.05, 36.63, 185.67
1583616247.1573427,45.32, 42.41, 189.52
1583616247.1803002,49.03, 60.02, 194.91
1583616247.2032897,51.52, 65.65, 199.73
1583616247.2261107,52.79, 74.92, 204.85
1583616247.2490342,52.96, 87.44, 211.76
1583616247.2720165,53.06, 98.44, 218.34
1583616247.2959912,52.60, 108.97, 224.90
1583616247.3199275,51.50, 119.17, 230.08
1583616247.3438628,51.06, 122.05, 232.77
1583616247.3678265,51.72, 119.42, 233.86
1583616247.391769,52.55, 117.46, 235.24
1583616247.415708,53.86, 114.94, 236.11
1583616247.4397054,54.87, 114.14, 237.08
1583616247.463615,55.59, 114.85, 238.76
1583616247.4875784,55.69, 117.05, 239.61
1583616247.511541,56.14, 122.36, 242.01
1583616247.5354936,55.84, 128.45, 244.58
1583616247.559453,55.22, 132.93, 245.13
1583616247.5835123,54.04, 136.05, 245.17
1583616247.607474,53.57, 133.71, 244.74
1583616247.6314373,53.06, 129.67, 244.34
1583616247.6554193,52.28, 130.90, 247.01
1583616247.6793468,50.86, 137.50, 250.00
1583616247.703214,49.13, 144.82, 251.18
1583616247.727176,47.36, 151.58, 253.38
1583616247.751111,45.11, 155.23, 255.10
1583616247.7750595,42.77, 153.75, 255.76
1583616247.7990258,41.68, 166.39, 256.84
1583616247.8229842,38.13, 169.10, 259.10
1583616247.8470848,34.10, 174.09, 259.86
1583616247.8721008,32.87, -178.51, 258.93
1583616247.8971128,30.89, -174.91, 257.73
1583616247.9221194,29.75, -172.11, 255.62
1583616247.947104,29.94, -171.60, 253.61
1583616247.972106,30.20, -167.28, 252.23
1583616247.9970815,24.91, -167.52, 247.50
1583616248.0220866,21.79, -166.90, 242.22
1583616248.047106,19.96, -165.77, 236.31
1583616248.0721073,17.65, -160.87, 231.64
