Sat Mar  7 16:37:48 2020,j
Sat Mar  7 16:37:48 2020,11.95, -12.17, 120.53
Sat Mar  7 16:37:48 2020,11.94, -12.11, 120.53
Sat Mar  7 16:37:48 2020,11.93, -12.13, 120.53
Sat Mar  7 16:37:48 2020,11.94, -12.11, 120.52
Sat Mar  7 16:37:48 2020,11.96, -12.07, 120.52
Sat Mar  7 16:37:48 2020,11.94, -12.10, 120.53
Sat Mar  7 16:37:48 2020,11.93, -12.03, 120.53
Sat Mar  7 16:37:48 2020,11.94, -12.06, 120.53
Sat Mar  7 16:37:48 2020,11.95, -12.07, 120.52
Sat Mar  7 16:37:48 2020,11.95, -12.09, 120.51
Sat Mar  7 16:37:48 2020,11.97, -12.13, 120.51
Sat Mar  7 16:37:48 2020,11.98, -12.17, 120.50
Sat Mar  7 16:37:48 2020,12.28, -12.47, 120.57
Sat Mar  7 16:37:49 2020,12.65, -11.86, 120.64
Sat Mar  7 16:37:49 2020,12.87, -11.96, 120.57
Sat Mar  7 16:37:49 2020,12.83, -11.97, 120.58
Sat Mar  7 16:37:49 2020,12.83, -11.88, 120.85
Sat Mar  7 16:37:49 2020,12.74, -12.35, 120.87
Sat Mar  7 16:37:49 2020,12.67, -12.24, 120.88
Sat Mar  7 16:37:49 2020,12.64, -12.15, 120.89
Sat Mar  7 16:37:49 2020,12.61, -12.18, 120.88
Sat Mar  7 16:37:49 2020,12.68, -12.29, 120.85
Sat Mar  7 16:37:49 2020,12.73, -12.17, 120.91
Sat Mar  7 16:37:49 2020,12.83, -12.16, 120.91
Sat Mar  7 16:37:49 2020,12.84, -12.17, 120.92
Sat Mar  7 16:37:49 2020,12.80, -12.09, 120.94
Sat Mar  7 16:37:49 2020,12.75, -11.98, 120.93
Sat Mar  7 16:37:49 2020,12.77, -11.81, 120.95
Sat Mar  7 16:37:49 2020,12.69, -11.84, 120.97
Sat Mar  7 16:37:49 2020,12.69, -11.94, 120.95
Sat Mar  7 16:37:49 2020,12.72, -12.54, 120.79
Sat Mar  7 16:37:49 2020,12.69, -13.85, 120.16
Sat Mar  7 16:37:49 2020,12.39, -15.17, 121.04
Sat Mar  7 16:37:49 2020,10.24, -18.57, 124.43
Sat Mar  7 16:37:49 2020,11.11, -24.61, 125.03
Sat Mar  7 16:37:49 2020,13.66, -32.32, 122.96
Sat Mar  7 16:37:49 2020,16.70, -43.11, 119.27
Sat Mar  7 16:37:49 2020,17.51, -56.77, 113.32
Sat Mar  7 16:37:49 2020,18.96, -75.04, 110.68
Sat Mar  7 16:37:49 2020,19.04, -96.75, 107.44
Sat Mar  7 16:37:49 2020,16.41, -117.48, 104.78
Sat Mar  7 16:37:49 2020,12.39, -140.54, 104.14
Sat Mar  7 16:37:49 2020,8.54, -161.40, 107.67
Sat Mar  7 16:37:49 2020,6.31, 177.69, 112.02
Sat Mar  7 16:37:49 2020,6.24, 161.81, 116.17
Sat Mar  7 16:37:49 2020,7.92, 152.67, 120.82
Sat Mar  7 16:37:49 2020,10.35, 143.98, 124.96
Sat Mar  7 16:37:49 2020,12.15, 138.67, 129.10
Sat Mar  7 16:37:49 2020,11.98, 141.94, 132.88
Sat Mar  7 16:37:49 2020,7.84, 150.78, 136.52
Sat Mar  7 16:37:49 2020,3.87, 167.08, 137.58
Sat Mar  7 16:37:49 2020,0.50, -167.73, 138.68
Sat Mar  7 16:37:49 2020,-3.67, -137.21, 139.83
Sat Mar  7 16:37:49 2020,-9.83, -108.07, 138.18
Sat Mar  7 16:37:49 2020,-12.13, -88.28, 134.62
Sat Mar  7 16:37:50 2020,-13.12, -69.79, 130.37
